,moving_time,timestamp,average_speed,average_temp,average_watts,suffer_score,kmeans_119
260,486,1680006265.0,5.551,21.371531966224367,83.5,65.4145810663765,107
261,498,1679865101.0,6.111,21.371531966224367,80.1,65.4145810663765,107
262,519,1679859522.0,5.744,21.371531966224367,92.4,65.4145810663765,107
263,2811,1679828449.0,5.562,21.371531966224367,82.1,65.4145810663765,107
264,537,1679767844.0,5.641,21.371531966224367,81.1,65.4145810663765,107
265,614,1679760666.0,5.451,21.371531966224367,105.3,65.4145810663765,107
266,559,1679707487.0,6.363,21.371531966224367,114.0,65.4145810663765,107
267,562,1679695110.0,5.748,21.371531966224367,119.5,65.4145810663765,107
268,646,1679678924.0,4.288,21.371531966224367,97.8,65.4145810663765,107
273,3970,1650524564.0,6.382,23.0,111.1,65.4145810663765,46
303,592,1636788157.0,0.0,21.371531966224367,135.34960346070656,0.0,44
315,1186,1634979228.0,0.0,21.371531966224367,135.34960346070656,14.0,44
324,1223,1633590875.0,0.0,21.371531966224367,135.34960346070656,13.0,44
329,4198,1631341648.0,5.925,20.0,132.5,65.4145810663765,23
330,5381,1631082591.0,4.688,19.0,91.6,65.4145810663765,23
331,4533,1630651929.0,5.78,19.0,117.9,65.4145810663765,23
332,4183,1630566545.0,5.897,20.0,105.3,65.4145810663765,23
333,4896,1630392460.0,4.955,18.0,102.4,65.4145810663765,23
334,4199,1630047518.0,5.815,18.0,120.8,65.4145810663765,23
335,5891,1629874397.0,6.217,21.0,95.9,65.4145810663765,23
336,2903,1629095892.0,6.236,18.0,116.9,65.4145810663765,60
337,7183,1628922722.0,6.214,21.0,130.4,65.4145810663765,60
338,3308,1628837189.0,5.48,18.0,84.4,65.4145810663765,60
339,3824,1628577327.0,7.637,20.0,143.6,65.4145810663765,60
340,3160,1628491579.0,5.694,19.0,98.7,65.4145810663765,60
341,7239,1628318494.0,5.985,21.371531966224367,143.6,65.4145810663765,60
342,3192,1628233137.0,5.676,21.371531966224367,89.5,65.4145810663765,60
343,6395,1627283481.0,6.585,21.371531966224367,100.4,65.4145810663765,70
344,2817,1626938361.0,6.439,19.0,126.1,65.4145810663765,70
345,3380,1626678621.0,5.473,20.0,83.5,65.4145810663765,70
346,6174,1626504744.0,5.886,22.0,95.6,65.4145810663765,70
347,4698,1626416667.0,7.232,21.0,126.2,65.4145810663765,70
348,4407,1626331942.0,5.695,21.0,83.2,65.4145810663765,70
349,3109,1626157066.0,5.921,19.0,92.7,65.4145810663765,70
350,3222,1626073604.0,5.603,21.0,84.7,65.4145810663765,70
351,3354,1625906006.0,7.375,23.0,120.7,1.0,70
352,3056,1625728329.0,5.924,22.0,101.4,1.0,70
353,2976,1625554436.0,6.086,21.0,106.4,65.4145810663765,70
354,6332,1624688914.0,6.185,20.0,112.0,65.4145810663765,7
355,6695,1624517232.0,6.029,21.0,86.8,65.4145810663765,7
356,3120,1624430687.0,6.464,21.0,98.2,65.4145810663765,7
357,2999,1623741879.0,6.029,22.0,84.2,65.4145810663765,7
358,2668,1623395745.0,6.804,21.0,136.1,65.4145810663765,7
359,4328,1623308925.0,5.886,21.0,102.1,9.0,7
360,1200,1622488196.0,5.851,26.0,109.2,65.4145810663765,7
361,2100,1621882270.0,3.869,27.0,51.2,65.4145810663765,98
362,1800,1621365553.0,5.171,25.0,106.4,65.4145810663765,98
363,2700,1621106340.0,5.867,28.0,112.3,65.4145810663765,98
364,1865,1620846338.0,6.421,27.0,128.9,65.4145810663765,98
365,1801,1620329182.0,7.246,27.0,166.5,65.4145810663765,98
366,1800,1620245320.0,4.996,27.0,83.9,65.4145810663765,98
367,2100,1620155054.0,4.37,27.0,74.6,3.0,98
369,1800,1619207639.0,7.186,25.0,161.1,26.0,30
370,1801,1619033016.0,5.212,27.0,116.3,13.0,30
371,1801,1618945688.0,5.552,27.0,107.3,12.0,30
372,1800,1618596103.0,4.919,27.0,111.3,32.0,30
373,1860,1618509661.0,7.143,24.0,166.5,48.0,30
374,2101,1618337372.0,3.629,24.0,78.6,48.0,30
375,1800,1618247027.0,7.385,24.0,172.9,50.0,30
376,1998,1618077728.0,6.853,26.0,162.5,51.0,30
377,2400,1617992338.0,6.986,25.0,146.8,54.0,30
378,2100,1617906574.0,6.691,26.0,145.1,49.0,30
379,2166,1617732009.0,4.995,36.0,92.6,36.0,30
380,1801,1617650548.0,8.093,27.0,181.2,55.0,30
381,2311,1617471765.0,5.32,27.0,106.2,38.0,104
382,2352,1617297277.0,4.874,27.0,86.7,27.0,104
384,1680,1617043651.0,6.524,28.0,129.0,43.0,104
385,1950,1616751994.0,7.276,26.0,157.5,43.0,104
386,1800,1616664879.0,4.543,27.0,93.6,24.0,104
388,2273,1616401841.0,5.142,26.0,106.0,26.0,104
389,2100,1616262794.0,3.635,26.0,70.6,15.0,104
397,5348,1614322153.0,8.904,17.0,158.8,95.0,99
398,2896,1614150647.0,6.912,17.0,103.1,14.0,99
400,5455,1613978177.0,6.739,17.0,128.4,72.0,99
401,5637,1613716767.0,8.445,15.0,147.2,74.0,99
404,4018,1613373744.0,5.704,17.0,92.4,17.0,99
405,8420,1613200899.0,6.005,19.0,108.7,82.0,99
406,6650,1613114032.0,8.752,14.0,142.6,120.0,99
407,4967,1612939675.0,6.955,12.0,146.3,99.0,99
408,5820,1612767651.0,8.181,12.0,147.8,116.0,99
410,6561,1612334235.0,7.258,13.0,112.3,73.0,20
412,5616,1612163072.0,8.545,14.0,156.6,153.0,20
413,6205,1611815262.0,6.617,14.0,118.9,78.0,20
415,2736,1611558497.0,6.586,13.0,127.2,34.0,20
417,2983,1610954582.0,5.972,18.0,96.7,14.0,20
421,2079,1609915311.0,8.817,17.0,124.4,18.0,49
422,4483,1609486100.0,5.902,17.0,97.1,22.0,49
424,7147,1609310718.0,8.832,13.0,143.3,87.0,49
425,3210,1609140154.0,5.602,13.0,95.7,13.0,49
427,4532,1608881483.0,5.905,16.0,104.2,30.0,49
428,3300,1608793521.0,6.122,10.0,110.3,28.0,49
430,4346,1608535417.0,6.157,13.0,104.4,39.0,49
432,3954,1608275496.0,5.705,16.0,93.6,30.0,110
433,3340,1608189267.0,5.455,15.0,80.1,10.0,110
435,3978,1607930916.0,5.818,18.0,92.0,28.0,110
437,4193,1607671262.0,5.497,18.0,81.6,20.0,110
438,3044,1607584595.0,5.934,17.0,98.5,18.0,110
441,4052,1607066515.0,5.706,16.0,82.4,21.0,110
445,4222,1606461912.0,5.656,20.0,90.4,32.0,110
447,3943,1606116511.0,5.632,21.0,76.3,19.0,41
449,3592,1605251277.0,6.213,17.0,95.6,43.0,41
451,3767,1604904256.0,7.781,14.0,146.3,87.0,41
452,4075,1604731607.0,6.229,16.0,97.7,42.0,41
453,3709,1604645233.0,6.093,16.0,87.5,30.0,41
454,3766,1604472574.0,7.777,16.0,142.4,84.0,41
455,3343,1604300235.0,7.5,18.0,138.0,64.0,41
456,2917,1603953170.0,6.224,16.0,96.8,22.0,41
457,3175,1603781233.0,5.662,17.0,81.2,19.0,41
458,2747,1602311809.0,6.537,20.0,104.3,30.0,4
459,4933,1602224742.0,5.873,20.0,78.8,29.0,4
460,3853,1602052038.0,5.961,20.0,89.2,65.4145810663765,4
461,4051,1601965716.0,5.765,19.0,81.0,22.0,4
462,3064,1601880453.0,5.874,20.0,87.2,17.0,4
463,4979,1601619856.0,6.012,21.0,86.8,57.0,4
464,2974,1601534816.0,6.058,19.0,90.2,46.0,4
465,51131,1601319723.0,0.164,25.0,135.34960346070656,98.0,4
466,2401,1599640003.0,5.372,26.0,135.34960346070656,14.0,35
467,2401,1599466795.0,5.616,24.0,135.34960346070656,17.0,35
468,1801,1599036117.0,5.419,24.0,135.34960346070656,16.0,35
469,1861,1598515423.0,4.662,23.0,135.34960346070656,14.0,35
470,2112,1598257858.0,5.631,24.0,135.34960346070656,19.0,35
471,2702,1597997284.0,5.908,22.0,135.34960346070656,65.4145810663765,35
472,1660,1597739545.0,5.557,22.0,135.34960346070656,65.4145810663765,35
473,2701,1597601254.0,5.528,21.0,135.34960346070656,60.0,35
474,1501,1596728890.0,4.997,23.0,98.5,16.0,56
475,1551,1596302557.0,5.792,25.0,115.1,24.0,56
476,2700,1595924408.0,5.875,25.0,115.6,40.0,56
477,2700,1595838516.0,5.307,24.0,100.2,29.0,56
478,2700,1595578044.0,5.785,25.0,106.1,31.0,56
479,1800,1595446782.0,4.224,25.0,60.8,12.0,56
480,2700,1595271309.0,5.884,24.0,113.3,53.0,56
481,3000,1595092203.0,6.032,24.0,114.5,58.0,56
482,2700,1594839428.0,5.768,22.0,114.6,51.0,56
483,2754,1594753736.0,4.91,24.0,97.5,33.0,56
484,2100,1594664541.0,5.784,24.0,110.4,36.0,56
485,1200,1594498087.0,4.97,25.0,85.8,10.0,56
486,1209,1594415261.0,2.61,25.0,29.4,3.0,56
493,4597,1584600689.0,6.034,18.0,97.1,27.0,53
494,5019,1584425900.0,8.254,18.0,158.8,91.0,53
495,6967,1584254707.0,6.612,19.0,136.1,99.0,53
496,3796,1584080955.0,6.987,13.0,117.0,38.0,53
497,10339,1582957819.0,7.687,18.0,137.3,79.0,77
498,5027,1582613196.0,8.325,16.0,163.3,82.0,77
499,9872,1582353399.0,8.073,18.0,157.7,128.0,77
500,3649,1582181473.0,8.075,16.0,164.8,65.0,77
501,4364,1582007962.0,7.609,16.0,150.5,65.0,77
502,5881,1581835068.0,8.175,15.0,157.1,107.0,77
503,3709,1581662867.0,7.983,15.0,165.1,65.0,77
504,2400,1581405043.0,0.0,23.0,135.34960346070656,54.0,77
505,2693,1581233419.0,6.841,15.0,119.1,48.0,77
506,4514,1579421776.0,0.0,22.0,135.34960346070656,46.0,12
507,3310,1579244617.0,0.0,21.0,135.34960346070656,63.0,12
509,5085,1578984045.0,6.811,13.0,115.3,77.0,12
510,3797,1578813506.0,5.514,15.0,83.4,23.0,12
511,6200,1578725504.0,5.851,14.0,98.9,42.0,12
512,5191,1578551726.0,7.622,14.0,115.4,54.0,12
513,5204,1578379117.0,7.582,14.0,140.0,64.0,12
514,4968,1578206976.0,6.551,14.0,128.8,55.0,12
515,5124,1578033602.0,6.287,13.0,120.6,34.0,47
517,3821,1577775056.0,5.453,12.0,83.6,20.0,47
518,3797,1576998510.0,5.409,18.0,78.6,25.0,47
519,3157,1576912492.0,5.727,14.0,88.3,34.0,47
520,744,1576835044.0,3.967,20.0,79.7,65.4145810663765,47
521,918,1573981696.0,5.475,23.0,72.2,2.0,55
522,8451,1573973197.0,8.894,19.0,148.5,73.0,55
523,634,1573972545.0,4.737,21.0,143.4,3.0,55
524,11520,1573885101.0,6.709,20.0,131.3,163.0,55
525,3427,1573801803.0,4.973,18.0,79.8,9.0,55
526,9179,1573626729.0,7.412,19.0,139.9,71.0,55
527,8530,1573539407.0,5.747,18.0,119.6,91.0,55
528,4501,1561918051.0,6.291,22.0,135.34960346070656,39.0,16
529,3601,1561656213.0,4.87,24.0,135.34960346070656,40.0,16
530,2401,1561494518.0,4.362,24.0,135.34960346070656,14.0,16
531,4532,1561274999.0,7.339,23.0,178.2,86.0,16
532,4301,1561185863.0,6.33,24.0,145.5,63.0,16
533,4200,1561054658.0,6.496,24.0,164.7,91.0,16
534,8921,1560838053.0,6.337,22.0,132.0,91.0,16
535,7459,1560578709.0,7.509,20.0,139.3,93.0,16
536,4084,1560456928.0,6.779,23.0,138.9,77.0,16
537,6897,1560232998.0,6.971,22.0,139.0,82.0,16
538,9576,1560059720.0,9.271,26.0,164.0,181.0,16
539,1252,1559981098.0,4.131,25.0,253.0,61.0,16
540,541,1559978905.0,9.603,22.0,24.0,1.0,16
541,1274,1559977498.0,4.068,23.0,245.4,53.0,16
542,521,1559975896.0,9.932,21.0,0.4,1.0,16
543,1321,1559974379.0,3.956,22.0,242.7,46.0,16
544,6075,1559800331.0,7.93,23.0,133.6,78.0,16
545,7473,1559627802.0,6.451,22.0,120.8,74.0,16
546,3600,1559410436.0,5.309,26.0,126.5,52.0,16
